id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
"HARNESS-01","P1","1","infra","Add canonical harness workflows","Create nine concise workflow skills and Claude command shims without changing existing ECC workflows.","WHEN validation runs THEN all nine skills and commands pass repository validators; ref: skills/strategic-compact/SKILL.md:1","CONTRACT","skill-creator","","Check workflow inputs, agent routing, completion gates, and no unsupported Codex slash commands.","Validate all skill folders, command references, and Codex/Claude invocation mapping.","已完成","已完成","已完成","未提交","","skills/strategic-compact/SKILL.md:1; skills/harness-start/SKILL.md:1; commands/harness-start.md:1","source_doc:conversation-approved-plan; skills_used:skill-creator; evidence:quick_validate passed 9 canonical and 9 vendored workflow skills plus repository command and skill validators; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-02","P0","2","infra","Implement project-level aster CLI","Add init, plan, update, doctor, uninstall, memory approval, stack detection, selected skill/agent installation, and current Codex TOML conversion by reusing Node and existing install patterns.","WHEN run in a temporary repo THEN init is idempotent, installs only managed project files, detects stacks, converts agents, preserves user files, and memory injects only approved entries; ref: scripts/ecc.js:1","CONTRACT","","","Review path containment, hash conflict handling, config defaults, and user-file preservation.","Run CLI integration tests for init/update/doctor/uninstall/memory and Windows-safe paths.","已完成","已完成","已完成","未提交","","scripts/aster.js:1; scripts/lib/aster/index.js:1; scripts/lib/aster/manifest.js:1; package.json:1","source_doc:conversation-approved-plan; evidence:isolated CLI integration tests 19 of 19 including idempotence drift safe uninstall symlink and hardlink containment memory approval malformed-config rejection task-record ignore preservation dry-run fragment inventory and Codex TOML conversion; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-03","P0","3","infra","Add balanced cross-harness hooks","Implement project/plugin hooks for approved memory loading, pre-compact snapshots, observation candidates, activity/context tracking, and Stop persistence with safe defaults.","WHEN hook fixtures run THEN candidates are never injected before approval, outputs are bounded, failures are fail-open, and default-disabled hooks do not execute; ref: hooks/hooks.json:1","CONTRACT","","","Check Codex-supported events, plugin environment variables, input normalization, and non-blocking defaults.","Run hook fixtures for Claude and Codex shaped input and verify the 8000-character injection cap.","已完成","已完成","已完成","未提交","","hooks/aster-hooks.json:1; scripts/aster-hooks/runner.js:1; tests/scripts/aster-hooks.test.js:1","source_doc:conversation-approved-plan; evidence:hook fixtures passed approved-only 8000 character memory cap configured cap fallback redaction fail-open cost evidence formatting typecheck quality failures disabled quality MCP malformed settings and candidate/cost hardlink containment; platform_behavior:project Claude SessionEnd and Codex Stop while dual plugin keeps Codex-compatible Stop; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-04","P0","4","infra","Build self-contained aster plugin","Add dual Codex/Claude manifests, curated content builder, self-contained runtime files, and marketplace entries without parent-relative escapes.","WHEN plugin validation runs THEN both manifests validate and every referenced path remains inside plugins/aster; ref: plugins/ecc/.codex-plugin/plugin.json:1","CONTRACT","plugin-creator","","Check manifest identity, marketplace policy, vendored file completeness, and absence of ../../ references.","Build twice for determinism, validate cache contents, and inspect npm package files.","已完成","已完成","已完成","未提交","","plugins/aster/.codex-plugin/plugin.json:1; plugins/aster/.claude-plugin/plugin.json:1; scripts/build-aster-plugin.js:1; .agents/plugins/marketplace.json:1","source_doc:conversation-approved-plan; skills_used:plugin-creator; evidence:Codex Python validator passed Claude strict validator passed deterministic plugin build 8 of 8 self-contained runtime check passed with 44 skills 9 commands 51 agents and npm pack check passed with 2680 files; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-05","P1","5","infra","Verify integrated personal harness","Add focused tests and documentation, run existing regression suite, and exercise the local CLI/plugin flows without changing user-global configuration.","WHEN the final checks run THEN focused tests, skill/plugin validators, existing npm tests, and package checks pass or limitations are recorded exactly; WHEN any harness install test starts THEN HOME, USERPROFILE, CODEX_HOME, CLAUDE_CONFIG_DIR, XDG and npm state point at a repository-local disposable sandbox; WHEN a test attempts npm link or a real marketplace/plugin install THEN it fails before execution; ref: tests/run-all.js:1","CONTRACT","","","Review test claims against real behavior, ensure no unrelated files are changed, and verify the isolation guard rejects real user homes.","Run full regression under the isolated runner, inspect git diff, verify installation instructions match the implemented CLI, and confirm test fixtures only install project-local surfaces.","已完成","已完成","已完成","未提交","","scripts/run-tests-isolated.js:1; scripts/lib/aster/test-isolation.js:1; tests/scripts/aster.test.js:1; README.zh-CN.md:100","source_doc:conversation-approved-plan; requirement_change:2026-07-21 project-only test installation; picked_reason:protect live Codex and Claude environments before final integration tests; evidence:npm test 3098 of 3098; coverage lines 88.41 functions 93.75 branches 79.18; harness CLI 19 of 19; hook fixtures passed; plugin build 8 of 8; ESLint 26 changed/new JavaScript files; 18 workflow validators; Codex Python and Claude strict validators; npm pack 2680 files; direct isolated pack passed; git diff check clean; isolation_evidence:all HOME USERPROFILE CODEX_HOME CLAUDE_CONFIG_DIR XDG npm user/global config and Git state redirected; global codex/claude plugin registration and aster launcher audit both zero; codex/claude marketplace install plus npm link and package managers blocked before execution; live_state_audit:no aster registration cache or global npm link found; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"REVIEW-01","P0","6","review","Review documented vision against delivered work","Use a same-model sub-agent to compare the approved plan with the delivered diff and validation evidence.","WHEN all implementation rows are complete THEN independently verify project-only default behavior, 9 workflows, 44 core skills, 23 plus detected agents, balanced approval-gated memory hooks, self-contained plugin installation, and honest test evidence; ref: AGENTS.md:1","MANUAL","","","Verify all prior non-review rows are complete before review.","Check that claims match evidence, no global config was silently modified, plugin files are self-contained, unsupported Codex commands/events are not claimed, and skipped validation is reported.","已完成","已完成","已完成","未提交","","AGENTS.md:1; issues/2026-07-21-aster.review.md:1","review_kind:vision; review_agent:same-model-sub-agent; source_doc:conversation-approved-plan; result:gaps_found; gaps:git-root-and-realpath-isolation;configurable-memory-cap;stack-detection-fixtures;hook-cwd-boundary;plugin-install-e2e-limited;plan-verification-records; followups:HARNESS-06,HARNESS-07,HARNESS-08,HARNESS-09,HARNESS-10,HARNESS-11,HARNESS-12; validation_limited:real marketplace/plugin installation intentionally blocked by user project-only test constraint"
"HARNESS-06","P0","7","infra","Require a real Git project root","Resolve every CLI operation to the containing Git worktree and reject home or non-Git directories before planning or writing.","WHEN CLI runs from a Git subdirectory THEN operate at the Git top level; WHEN cwd is not a Git repository THEN fail without writing; WHEN a project root is a symlink or junction outside the sandbox THEN reject it; ref: scripts/aster.js:1","CONTRACT","","","Check Git root resolution, worktree behavior, non-Git rejection, and symlink/junction containment.","Run isolated fixtures from a nested project directory, a home-like non-Git directory, and a project-root symlink.","已完成","已完成","已完成","未提交","","scripts/aster.js:114; scripts/lib/aster/test-isolation.js:28; tests/scripts/aster.test.js:209","source_doc:conversation-approved-plan; review_gap:P0 git-root and realpath isolation; evidence:nested Git invocation non-Git rejection project-root junction and missing-path-below-junction fixtures passed under repository-local sandbox; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-07","P0","7","infra","Honor the configured memory injection cap","Make SessionStart bound the complete additional context to aster.json memory.maxInjectedCharacters while keeping approval-only memory semantics.","WHEN memory.maxInjectedCharacters is set to 1200 THEN SessionStart additionalContext is at most 1200 characters; WHEN config is invalid THEN use the safe 8000-character default; ref: scripts/aster-hooks/runner.js:1","CONTRACT","","","Check config discovery, cap enforcement across memory/task/snapshot sections, and malformed-config fallback.","Run hook fixtures with a small cap and oversized approved memory; verify pending candidates never appear.","已完成","已完成","已完成","未提交","","scripts/aster-hooks/runner.js:270; tests/scripts/aster-hooks.test.js:105; skills/harness-start/SKILL.md:1","source_doc:conversation-approved-plan; review_gap:P0 configured memory cap ignored by runtime; evidence:1200-character complete additionalContext cap malformed-config 8000 fallback approval-only injection and pending-plan exclusion fixtures passed; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-08","P1","7","infra","Complete non-Node stack detection","Detect representative C/C++, Xcode/Swift, .NET solution/global.json, and Kubernetes YAML projects and select their stack packs.","WHEN fixtures contain main.c, Demo.xcodeproj, App.sln/global.json, or deployment.yaml with apiVersion apps/v1 THEN the corresponding stack is detected; ref: scripts/lib/aster/manifest.js:194","CONTRACT","","","Check filename suffixes, manifest corpus scanning, false positives, and selected skills/agents.","Run isolated detection fixtures for each supported stack and verify the selected content.","已完成","已完成","已完成","未提交","","scripts/lib/aster/manifest.js:200; tests/scripts/aster.test.js:123","source_doc:conversation-approved-plan; review_gap:P1 stack detection coverage gaps; evidence:isolated main.c Demo.xcodeproj App.sln plus global.json and deployment.yaml fixtures selected expected skills and agents; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
"HARNESS-09","P1","7","infra","Constrain hook runtime data paths","Resolve hook cwd and .aster or plugin data paths inside the Git project or approved isolated plugin data root, rejecting symlink and external payload paths fail-open.","WHEN hook cwd or .aster points outside the project THEN no external file is written; WHEN plugin data is configured inside its sandbox THEN project-keyed state is written there; ref: scripts/aster-hooks/runner.js:106","CONTRACT","","","Check realpath containment, symlink handling, malformed cwd input, and fail-open behavior.","Run hook fixtures with external cwd and symlinked .aster/plugin data paths and inspect outside directories.","已完成","已完成","已完成","未提交","","scripts/aster-hooks/runner.js:157; scripts/aster-hooks/runner.js:206; tests/scripts/aster-hooks.test.js:416","source_doc:conversation-approved-plan; review_gap:P1 hook cwd/data boundary; evidence:non-Git payload external project alias local .aster junction PLUGIN_DATA junction candidate hardlink and cost hardlink all failed open without external writes while safe plugin data stayed project-keyed; done_at:2026-07-21; git_state_intentional:approved plan forbids commit push publish"
